unnamed: 0,unnamed: 1,total energy use (kwh),renewable energy (kwh),default utility emissions (metric tons co2e)10,apple’s emissions – including renewable energy (metric tons co2e)11,percent renewable energy (%)12
,2011,42500,0,10,10,0
,2012,38552300,1471680,17200,16500,4
,2013,79462900,46966900,31800,14500,59
,2014,108659700,88553400,44300,11000,81
,2015,142615000,121086100,60500,12700,85
,201613,145520900,143083200,66300,1600,98
,2017,289195800,286378100,125600,1500,99
,2018,327663800,326959700,146600,400,100
regional,2019,339047649,339047649,146400,0,100
,2020,372901398,372901398,153459,0,100
,2021,384727076,384727076,146780,0,100
,2022,487921930,487921930,182700,0,100
,2023,483299062,483299062,186141,0,100
